,raw,json,bird,alternate_names,scientific_name
17,The imperial snipe (Gallinago imperialis) is a small stocky wader which breeds in the Andes,"{'bird': 'Imperial Snipe', 'alternate_names': [], 'scientific_name': 'Gallinago imperialis'}",Imperial Snipe,,Gallinago imperialis
18,The imperial woodpecker (Campephilus imperialis) is a woodpecker species endemic to Mexico,"{'bird': 'The imperial woodpecker', 'alternate_names': 'Campephilus imperialis', 'scientific_name': 'Campephilus imperialis'}",The imperial woodpecker,Campephilus imperialis,Campephilus imperialis
19,"The Inaccessible Island finch (Nesospiza acunhae), also known as the Inaccessible bunting, is a species of bird in the family Thraupidae (formerly in Emberizidae)","{'bird': 'Inaccessible Island finch', 'alternate_names': 'Inaccessible bunting', 'scientific_name': 'Nesospiza acunhae', 'family': 'Thraupidae (formerly in Emberizidae)'}",Inaccessible Island finch,Inaccessible bunting,Nesospiza acunhae
20,"The Inaccessible Island rail (Laterallus rogersi) is a small bird of the rail family, Rallidae","{'bird': 'Inaccessible Island rail', 'alternate_names': [], 'scientific_name': 'Laterallus rogersi'}",Inaccessible Island rail,,Laterallus rogersi
22,The Inambari gnatcatcher (Polioptila attenboroughi) is a species of bird in the family Polioptilidae,"{'bird': 'Inambari gnatcatcher', 'alternate_names': 'Polioptila attenboroughi', 'scientific_name': 'Polioptilidae'}",Inambari gnatcatcher,Polioptila attenboroughi,Polioptilidae
23,The Inambari woodcreeper (Lepidocolaptes fatimalimae) is a species of bird in the subfamily Dendrocolaptinae,"{'bird': 'Inambari woodcreeper', 'alternate_names': [], 'scientific_name': 'Lepidocolaptes fatimalimae'}",Inambari woodcreeper,,Lepidocolaptes fatimalimae
25,The Inca flycatcher (Leptopogon taczanowskii) is a species of bird in the family Tyrannidae,"{'bird': 'Inca flycatcher', 'alternate_names': [], 'scientific_name': 'Leptopogon taczanowskii'}",Inca flycatcher,,Leptopogon taczanowskii
26,"The Inca jay or querrequerre (Cyanocorax yncas) is a bird species of the New World jays, which is native to the Andes of South America","{'bird': 'Inca jay', 'alternate_names': 'querrequerre', 'scientific_name': 'Cyanocorax yncas'}",Inca jay,querrequerre,Cyanocorax yncas
27,"The  Inca tern (Larosterna inca) is a Near Threatened species of bird in subfamily Sterninae of the family Laridae, the gulls, terns, and skimmers","{'bird': 'Inca Tern', 'alternate_names': 'Larosterna inca', 'scientific_name': 'Sterninae of the family Laridae'}",Inca Tern,Larosterna inca,Sterninae of the family Laridae
29,The Indian blackbird (Turdus simillimus) is a member of the thrush family Turdidae,"{'bird': 'Indian blackbird', 'alternate_names': [], 'scientific_name': 'Turdus simillimus'}",Indian blackbird,,Turdus simillimus
32,The Indian bush lark (Mirafra erythroptera) is a species of lark in the family Alaudidae found in South Asia,"{'bird': 'Indian bush lark', 'alternate_names': 'Mirafra erythroptera', 'scientific_name': 'Alaudidae'}",Indian bush lark,Mirafra erythroptera,Alaudidae
33,The Indian cormorant or Indian shag (Phalacrocorax fuscicollis) is a member of the cormorant family,"{'bird': 'Indian cormorant', 'alternate_names': 'Indian shag', 'scientific_name': 'Phalacrocorax fuscicollis'}",Indian cormorant,Indian shag,Phalacrocorax fuscicollis
35,"The  Indian cuckoo (Cuculus micropterus) is a member of the cuckoo order of birds, the Cuculiformes, that is found in the Indian subcontinent and Southeast Asia","{'bird': 'Indian cuckoo', 'alternate_names': 'Cuculus micropterus', 'scientific_name': 'Cuculiformes'}",Indian cuckoo,Cuculus micropterus,Cuculiformes
37,The Indian golden oriole (Oriolus kundoo) is a species of oriole found in the Indian subcontinent and Central Asia,"{'bird': 'Indian golden oriole', 'alternate_names': 'Oriolus kundoo', 'scientific_name': 'Oriolus kundoo'}",Indian golden oriole,Oriolus kundoo,Oriolus kundoo
38,The Indian grassbird (Graminicola bengalensis) is a passerine bird in the family Pellorneidae,"{'bird': 'Indian grassbird', 'alternate_names': 'Graminicola bengalensis', 'scientific_name': 'Pellorneidae'}",Indian grassbird,Graminicola bengalensis,Pellorneidae
41,The Indian nightjar (Caprimulgus asiaticus) is a small nightjar which is a resident breeder in open lands across South Asia and Southeast Asia,"{'bird': 'Indian nightjar', 'alternate_names': 'none', 'scientific_name': 'Caprimulgus asiaticus'}",Indian nightjar,none,Caprimulgus asiaticus
42,The Indian nuthatch (Sitta castanea) is a species of bird in the family Sittidae,"{'bird': 'Indian nuthatch', 'alternate_names': [], 'scientific_name': 'Sitta castanea'}",Indian nuthatch,,Sitta castanea
44,"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent","{'bird': 'Indian peafowl', 'alternate_names': ['common peafowl', 'blue peafowl'], 'scientific_name': 'Pavo cristatus'}",Indian peafowl,"['common peafowl', 'blue peafowl']",Pavo cristatus
47,The Indian robin (Copsychus fulicatus)[note 1] is a species of passarine bird in the family Muscicapidae,"{'bird': 'Indian robin', 'alternate_names': 'Copsychus fulicatus', 'scientific_name': 'Muscicapidae'}",Indian robin,Copsychus fulicatus,Muscicapidae
50,The Indian scops owl (Otus bakkamoena) is a species of owl native to South Asia,"{'bird': 'Indian scops owl', 'alternate_names': 'Otus bakkamoena', 'scientific_name': 'Otus bakkamoena'}",Indian scops owl,Otus bakkamoena,Otus bakkamoena
51,The Indian silverbill or white-throated munia (Euodice malabarica) is a small passerine bird found in the Indian Subcontinent and adjoining regions that was formerly considered to include the closely related African silverbill (Euodice cantans),"{'bird': 'Indian silverbill or white-throated munia', 'alternate_names': ['Euodice malabarica', 'African silverbill', 'Euodice cantans'], 'scientific_name': 'Euodice malabarica'}",Indian silverbill or white-throated munia,"['Euodice malabarica', 'African silverbill', 'Euodice cantans']",Euodice malabarica
54,"The Indian spotted creeper (Salpornis spilonota) is a small passerine bird, which is a member of the subfamily Salpornithinae which is placed along with the treecreepers in the family Certhiidae","{'bird': 'Indian spotted creeper', 'alternate_names': ['Salpornis spilonota'], 'scientific_name': 'Salpornithinae'}",Indian spotted creeper,['Salpornis spilonota'],Salpornithinae
56,The Indian stone-curlew or Indian thick-knee (Burhinus indicus) is a species of bird in the family Burhinidae,"{'bird': 'Indian stone-curlew or Indian thick-knee', 'scientific_name': 'Burhinus indicus', 'family': 'Burhinidae'}",Indian stone-curlew or Indian thick-knee,,Burhinus indicus
57,The Indian swiftlet or Indian edible-nest swiftlet  (Aerodramus unicolor) is a small swift,"{'bird': 'Indian swiftlet', 'alternate_names': 'Indian edible-nest swiftlet', 'scientific_name': 'Aerodramus unicolor'}",Indian swiftlet,Indian edible-nest swiftlet,Aerodramus unicolor
58,"The Indian vulture (Gyps indicus) is an Old World vulture native to India, Pakistan and Nepal","{'bird': 'Indian vulture', 'alternate_names': ['Gyps indicus'], 'scientific_name': 'Gyps indicus'}",Indian vulture,['Gyps indicus'],Gyps indicus
61,"The indigo bunting (Passerina cyanea) is a small seed-eating bird in the cardinal family, Cardinalidae","{'bird': 'indigo bunting', 'alternate_names': ['Passerina cyanea'], 'scientific_name': 'Cardinalidae'}",indigo bunting,['Passerina cyanea'],Cardinalidae
64,The Indigo-banded kingfisher (Ceyx cyanopectus) is a species of bird in the family Alcedinidae,"{'bird': 'Indigo-banded kingfisher', 'alternate_names': 'Ceyx cyanopectus', 'scientific_name': 'Alcedinidae'}",Indigo-banded kingfisher,Ceyx cyanopectus,Alcedinidae
66,"The Indochinese barbet (Psilopogon annamensis), also called Annam barbet, is a bird belonging to the family Megalaimidae","{'bird': 'Indochinese barbet', 'alternate_names': 'Annam barbet', 'scientific_name': 'Psilopogon annamensis'}",Indochinese barbet,Annam barbet,Psilopogon annamensis
67,The Indochinese blue flycatcher (Cyornis sumatrensis) is a species of bird in the family Muscicapidae,"{'bird': 'Indochinese blue flycatcher', 'alternate_names': 'None', 'scientific_name': 'Cyornis sumatrensis', 'family': 'Muscicapidae'}",Indochinese blue flycatcher,None,Cyornis sumatrensis
68,The Indochinese bush lark (Mirafra erythrocephala) or Indochinese lark is a species of lark in the family Alaudidae found in southeast Asia,"{'bird': 'Indochinese bush lark', 'alternate_names': 'Indochinese lark', 'scientific_name': 'Mirafra erythrocephala'}",Indochinese bush lark,Indochinese lark,Mirafra erythrocephala
69,The Indochinese cuckooshrike (Lalage polioptera) is a species of bird in the family Campephagidae,"{'bird': 'Indochinese cuckooshrike', 'alternate_names': [], 'scientific_name': 'Lalage polioptera'}",Indochinese cuckooshrike,,Lalage polioptera
71,"The Indochinese green magpie (Cissa hypoleuca) or yellow-breasted magpie, is a passerine bird of the crow family, Corvidae","{'bird': 'Indochinese green magpie', 'alternate_names': ['yellow-breasted magpie'], 'scientific_name': 'Cissa hypoleuca'}",Indochinese green magpie,['yellow-breasted magpie'],Cissa hypoleuca
72,"The Indochinese roller (Coracias affinis) or Burmese roller, is a member of the roller bird family","{'bird': 'Indochinese roller', 'alternate_names': ['Burmese roller'], 'scientific_name': 'Coracias affinis'}",Indochinese roller,['Burmese roller'],Coracias affinis
73,The Indochinese yuhina or chestnut-collared yuhina (Staphida torqueola) is a bird in the family Zosteropidae,"{'bird': 'Indochinese yuhina', 'alternate_names': 'Chestnut-collared yuhina', 'scientific_name': 'Staphida torqueola', 'family': 'Zosteropidae'}",Indochinese yuhina,Chestnut-collared yuhina,Staphida torqueola
76,The inland thornbill (Acanthiza apicalis) was originally described by English ornithologist John Gould in The Birds of Australia,"{'bird': 'inland thornbill', 'alternate_names': [], 'scientific_name': 'Acanthiza apicalis'}",inland thornbill,,Acanthiza apicalis
77,"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron","{'bird': 'intermediate egret', 'alternate_names': ['median egret', 'smaller egret', 'yellow-billed egret'], 'scientific_name': 'Ardea intermedia'}",intermediate egret,"['median egret', 'smaller egret', 'yellow-billed egret']",Ardea intermedia
79,"The Iphis monarch (Pomarea iphis), or Ua Huka flycatcher, is a species of bird in the family Monarchidae","{'bird': 'Iphis monarch', 'alternate_names': ['Ua Huka flycatcher'], 'scientific_name': 'Pomarea iphis'}",Iphis monarch,['Ua Huka flycatcher'],Pomarea iphis
80,The Iquitos gnatcatcher (Polioptila clementsi) is a bird in the family Polioptilidae,"{'bird': 'Iquitos gnatcatcher', 'alternate_names': ['Polioptila clementsi'], 'scientific_name': 'Polioptilidae'}",Iquitos gnatcatcher,['Polioptila clementsi'],Polioptilidae
81,"The Iraq babbler (Argya altirostris) is a species of bird in the family Leiothrichidae, native to reed beds of the Tigris-Euphrates Valley","{'bird': 'Iraq babbler', 'alternate_names': 'Argya altirostris', 'scientific_name': 'Leiothrichidae'}",Iraq babbler,Argya altirostris,Leiothrichidae
82,The Iringa akalat (Sheppardia lowei) is a species of bird in the family Muscicapidae,"{'bird': 'Iringa akalat', 'alternate_names': 'Sheppardia lowei', 'scientific_name': 'Muscicapidae'}",Iringa akalat,Sheppardia lowei,Muscicapidae
83,The Iriomote tit (Sittiparus olivaceus) is a small passerine bird in the tit family Paridae,"{'bird': 'Iriomote tit', 'alternate_names': 'Sittiparus olivaceus', 'scientific_name': 'Paridae'}",Iriomote tit,Sittiparus olivaceus,Paridae
84,"The iris lorikeet (Saudareos iris) is a small, up to 20 cm long, green lorikeet bird","{'bird': 'lorikeet', 'alternate_names': ['Saudareos iris'], 'scientific_name': 'Iris lorikeet'}",lorikeet,['Saudareos iris'],Iris lorikeet
85,The Isabela oriole (Oriolus isabellae) is a species of the oriole family endemic to Luzon in the Philippines,"{'bird': 'Isabela oriole', 'alternate_names': 'none', 'scientific_name': 'Oriolus isabellae'}",Isabela oriole,none,Oriolus isabellae
87,The isabelline shrike or Daurian shrike (Lanius isabellinus) is a member of the shrike family (Laniidae),"{'bird': 'Isabelline Shrike', 'alternate_names': 'Daurian Shrike', 'scientific_name': 'Lanius isabellinus'}",Isabelline Shrike,Daurian Shrike,Lanius isabellinus
88,"The isabelline wheatear (Oenanthe isabellina) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher in the family Muscicapidae","{'bird': 'Isabelline Wheatear', 'alternate_names': ['Oenanthe Isabellina'], 'scientific_name': 'Oenanthe Isabellina'}",Isabelline Wheatear,['Oenanthe Isabellina'],Oenanthe Isabellina
89,"The island bronze-naped pigeon (Columba malherbii), also known as the São Tomé bronze-naped pigeon, is a species of bird in the family Columbidae","{'bird': 'The island bronze-naped pigeon', 'alternate_names': 'São Tomé bronze-naped pigeon', 'scientific_name': 'Columba malherbii'}",The island bronze-naped pigeon,São Tomé bronze-naped pigeon,Columba malherbii
90,The island imperial pigeon (Ducula pistrinaria) is a species of bird in the family Columbidae,"{'bird': 'Island Imperial Pigeon', 'alternateNames': [], 'scientificName': 'Ducula pistrinaria'}",Island Imperial Pigeon,,
91,The island leaf warbler (Phylloscopus poliocephalus) is a species of Old World warbler in the family Phylloscopidae,"{'bird': 'Island Leaf Warbler', 'alternate_names': 'None', 'scientific_name': 'Phylloscopus poliocephalus'}",Island Leaf Warbler,None,Phylloscopus poliocephalus
93,"The island scrub jay (Aphelocoma insularis), also known as the island jay or Santa Cruz jay, is a bird in the genus, Aphelocoma, which is endemic to Santa Cruz Island off the coast of Southern California","{'bird': 'island scrub jay', 'alternate_names': ['island jay', 'Santa Cruz jay'], 'scientific_name': 'Aphelocoma insularis'}",island scrub jay,"['island jay', 'Santa Cruz jay']",Aphelocoma insularis
96,The island whistler (Pachycephala phaionota) is a species of bird in the family Pachycephalidae endemic to the Moluccas (Indonesia),"{'bird': 'The island whistler', 'alternate_names': 'Pachycephala phaionota', 'scientific_name': 'Pachycephalidae'}",The island whistler,Pachycephala phaionota,Pachycephalidae
97,The islet kingfisher (Todiramphus colonus) is a species of bird in the family Alcedinidae,"{'bird': 'The islet kingfisher', 'alternate_names': 'Todiramphus colonus', 'scientific_name': 'Alcedinidae'}",The islet kingfisher,Todiramphus colonus,Alcedinidae
98,The isthmian wren (Cantorchilus elutus) is a species of bird in the family Troglodytidae,"{'bird': 'Isthmian Wren', 'alternate_names': [], 'scientific_name': 'Cantorchilus elutus'}",Isthmian Wren,,Cantorchilus elutus
99,"The Italian sparrow (Passer italiae), also known as the cisalpine sparrow, is a passerine bird of the sparrow family Passeridae, found in Italy and other parts of the Mediterranean region","{'bird': 'Italian sparrow', 'alternate_names': ['Cisalpine sparrow'], 'scientific_name': 'Passer italiae'}",Italian sparrow,['Cisalpine sparrow'],Passer italiae
100,"The Itatiaia spinetail (Asthenes moreirae), also known as the Itatiaia thistletail, is a species of bird in the family Furnariidae","{'bird': 'Itatiaia spinetail', 'alternate_names': 'Itatiaia thistletail', 'scientific_name': 'Asthenes moreirae', 'family': 'Furnariidae'}",Itatiaia spinetail,Itatiaia thistletail,Asthenes moreirae
101,The Itombwe flycatcher (Muscicapa itombwensis) is a bird species in the Old World flycatcher family (Muscicapidae),"{'bird': 'Itombwe flycatcher', 'alternate_names': ['Muscicapa itombwensis'], 'scientific_name': 'Muscicapidae'}",Itombwe flycatcher,['Muscicapa itombwensis'],Muscicapidae
102,"The Ituri batis or Chapin's batis (Batis ituriensis) is a species of bird in the wattle-eye family, Platysteiridae which is found in the humid forests of eastern central Africa","{'bird': 'Ituri batis', 'alternate_names': [""Chapin's batis""], 'scientific_name': 'Batis ituriensis'}",Ituri batis,"[""Chapin's batis""]",Batis ituriensis
103,"The ivory gull (Pagophila eburnea) is a small gull, the only species in the genus Pagophila","{'bird': 'ivory gull', 'alternate_names': 'Pagophila eburnea', 'scientific_name': 'Pagophila eburnea'}",ivory gull,Pagophila eburnea,Pagophila eburnea
104,The ivory-backed woodswallow (Artamus monachus) is a species of bird in the family Artamidae,"{'bird': 'ivory-backed woodswallow', 'alternate_names': 'Artamus monachus', 'scientific_name': 'Artamidae'}",ivory-backed woodswallow,Artamus monachus,Artamidae
106,The ivory-billed coucal or greater black coucal (Centropus menbeki) is a species of cuckoo in the family Cuculidae,"{'bird': 'ivory-billed coucal', 'alternate_names': 'greater black coucal', 'scientific_name': 'Centropus menbeki'}",ivory-billed coucal,greater black coucal,Centropus menbeki
107,"The ivory-billed woodcreeper (Xiphorhynchus flavigaster) is a species of bird of the order of Passeriformes, which are perching birds","{'bird': 'ivory-billed woodcreeper', 'alternate_names': 'Xiphorhynchus flavigaster', 'scientific_name': 'Passeriformes'}",ivory-billed woodcreeper,Xiphorhynchus flavigaster,Passeriformes
109,The ivory-breasted pitta (Pitta maxima) is a species of bird in the family Pittidae,"{'bird': 'Pitta maxima', 'alternate_names': 'ivory-breasted pitta', 'scientific_name': 'Pitta maxima'}",Pitta maxima,ivory-breasted pitta,Pitta maxima
110,The Izu thrush or Izu Islands thrush (Turdus celaenops) is a bird of the thrush family native to Japan,"{'bird': 'Izu thrush', 'alternate_names': 'Izu Islands thrush', 'scientific_name': 'Turdus celaenops'}",Izu thrush,Izu Islands thrush,Turdus celaenops
111,The gabar goshawk (Micronisus gabar) is a small species of African and Arabian bird of prey in the family Accipitridae,"{'bird': 'Gabar Goshawk', 'alternate_names': [], 'scientific_name': 'Micronisus gabar'}",Gabar Goshawk,,Micronisus gabar
112,The Gabela akalat (Sheppardia gabela) is a species of bird in the family Muscicapidae,"{'bird': 'Gabela akalat', 'alternate_names': 'Sheppardia gabela', 'scientific_name': 'Muscicapidae'}",Gabela akalat,Sheppardia gabela,Muscicapidae
114,"The Gabela helmetshrike (Prionops gabela) is a species of bird in the Vanga family Vangidae, formerly usually included in the Malaconotidae","{'bird': 'Gabela helmetshrike', 'alternate_names': 'Prionops gabela', 'scientific_name': 'Vanga family Vangidae'}",Gabela helmetshrike,Prionops gabela,Vanga family Vangidae
116,The Gabon coucal (Centropus anselli) is a species of cuckoo in the family Cuculidae,"{'bird': 'Gabon coucal', 'alternate_names': 'Centropus anselli', 'scientific_name': 'Cuculidae'}",Gabon coucal,Centropus anselli,Cuculidae
117,The Gabon woodpecker (Dendropicos gabonensis) is a species of small woodpecker in the family Picidae which occurs in western central Africa,"{'bird': 'Gabon woodpecker', 'alternate_names': 'Dendropicos gabonensis', 'scientific_name': 'Picidae'}",Gabon woodpecker,Dendropicos gabonensis,Picidae
118,The gadwall (Mareca strepera) is a common and widespread dabbling duck[2] in the family Anatidae,"{'bird': 'gadwall', 'alternate_names': 'Mareca strepera', 'scientific_name': 'Anatidae'}",gadwall,Mareca strepera,Anatidae
119,"The galah (/ɡəˈlɑː/; Eolophus roseicapilla), also known as the pink and grey cockatoo or rose-breasted cockatoo,[2] is the only species within genus Eolophus of the cockatoo family","{'bird': 'galah', 'alternate_names': ['pink and grey cockatoo', 'rose-breasted cockatoo'], 'scientific_name': 'Eolophus roseicapilla'}",galah,"['pink and grey cockatoo', 'rose-breasted cockatoo']",Eolophus roseicapilla
120,"The Galapagos crake (Laterallus spilonota), also called the Galapagos rail and Darwin's rail, is a Vulnerable species of rail in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots","{'bird': 'Galapagos crake', 'alternate_names': ['Galapagos rail', ""Darwin's rail""], 'scientific_name': 'Laterallus spilonota'}",Galapagos crake,"['Galapagos rail', ""Darwin's rail""]",Laterallus spilonota
121,The Galápagos dove (Zenaida galapagoensis) is a species of bird in the family Columbidae,"{'bird': 'Galápagos dove', 'alternate_names': 'Zenaida galapagoensis', 'scientific_name': 'Columbidae'}",Galápagos dove,Zenaida galapagoensis,Columbidae
122,The Galápagos flycatcher (Myiarchus magnirostris) also known as the large-billed flycatcher is a species of bird in the family Tyrannidae,"{'bird': 'Galápagos flycatcher', 'alternate_names': 'large-billed flycatcher', 'scientific_name': 'Myiarchus magnirostris'}",Galápagos flycatcher,large-billed flycatcher,Myiarchus magnirostris
123,The Galápagos hawk (Buteo galapagoensis) is a large hawk endemic to most of the Galápagos Islands,"{'bird': 'Galápagos hawk', 'alternate_names': 'Buteo galapagoensis', 'scientific_name': 'Buteo galapagoensis'}",Galápagos hawk,Buteo galapagoensis,Buteo galapagoensis
124,"The Galápagos martin (Progne modesta) is a species of bird in the family Hirundinidae, endemic to the Galápagos Islands","{'bird': 'Galápagos martin', 'alternate_names': 'Progne modesta', 'scientific_name': 'Hirundinidae'}",Galápagos martin,Progne modesta,Hirundinidae
125,The Galápagos mockingbird (Mimus parvulus) is a species of bird in the family Mimidae,"{'bird': 'Galápagos mockingbird', 'alternateNames': 'Mimus parvulus', 'scientificName': 'Mimus parvulus'}",Galápagos mockingbird,,
126,"The Galápagos penguin (Spheniscus mendiculus) is a penguin endemic to the Galápagos Islands, Ecuador","{'bird': 'Galápagos penguin', 'alternate_names': 'Spheniscus mendiculus', 'scientific_name': 'Spheniscus mendiculus'}",Galápagos penguin,Spheniscus mendiculus,Spheniscus mendiculus
127,The Galápagos petrel (Pterodroma phaeopygia) is one of the six endemic seabirds of the Galápagos,"{'bird': 'Galápagos petrel', 'alternate_names': 'Pterodroma phaeopygia', 'scientific_name': 'Pterodroma phaeopygia'}",Galápagos petrel,Pterodroma phaeopygia,Pterodroma phaeopygia
129,The Gambaga flycatcher (Muscicapa gambagae) is a species of bird in the family Muscicapidae,"{'bird': 'Gambaga flycatcher', 'alternate_names': 'Muscicapa gambagae', 'scientific_name': 'Muscicapidae'}",Gambaga flycatcher,Muscicapa gambagae,Muscicapidae
130,Gambel's quail (Callipepla gambelii) is a small ground-dwelling bird in the New World quail family,"{'bird': ""Gambel's quail"", 'alternate_names': 'Callipepla gambelii', 'scientific_name': 'New World quail family'}",Gambel's quail,Callipepla gambelii,New World quail family
131,"The gang-gang cockatoo (Callocephalon fimbriatum) is a parrot found in the cooler and wetter forests and woodlands of Australia, particularly alpine bushland","{'bird': 'gang-gang cockatoo', 'alternate_names': 'Callocephalon fimbriatum', 'scientific_name': 'Callocephalon fimbriatum'}",gang-gang cockatoo,Callocephalon fimbriatum,Callocephalon fimbriatum
132,The Gansu leaf warbler (Phylloscopus kansuensis) is a small passerine bird known only from China,"{'bird': 'Gansu leaf warbler', 'alternate_names': 'Phylloscopus kansuensis', 'scientific_name': 'Phylloscopus kansuensis'}",Gansu leaf warbler,Phylloscopus kansuensis,Phylloscopus kansuensis
133,"The garden emerald (Chlorostilbon assimilis) is a small hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae","{'bird': 'Garden Emerald', 'alternate_names': ['Chlorostilbon assimilis'], 'scientific_name': 'Chlorostilbon assimilis'}",Garden Emerald,['Chlorostilbon assimilis'],Chlorostilbon assimilis
134,The garden warbler (Sylvia borin) is a common and widespread small bird that breeds in most of Europe and in the Palearctic to western Siberia,"{'bird': 'Garden Warbler', 'alternate_names': [], 'scientific_name': 'Sylvia borin'}",Garden Warbler,,Sylvia borin
135,The garganey (Spatula querquedula) is a small dabbling duck,"{'bird': 'garganey', 'alternate_names': ['Spatula querquedula'], 'scientific_name': 'Spatula querquedula'}",garganey,['Spatula querquedula'],Spatula querquedula
137,The garnet robin (Eugerygone rubra) is a species of bird in the family Petroicidae,"{'bird': 'garnet robin', 'alternate_names': 'Eugerygone rubra', 'scientific_name': 'Petroicidae'}",garnet robin,Eugerygone rubra,Petroicidae
138,The garnet-throated hummingbird (Lamprolaima rhami) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,"{'bird': 'garnet-throated hummingbird', 'alternate_names': 'Lamprolaima rhami', 'scientific_name': 'Lampornithini of subfamily Trochilinae'}",garnet-throated hummingbird,Lamprolaima rhami,Lampornithini of subfamily Trochilinae
139,"Garrett's reed warbler (Acrocephalus musae), sometimes called Society Islands reed warbler or Forster's reed-warbler was a songbird in the genus Acrocephalus","{'bird': ""Garrett's reed warbler"", 'alternate_names': ['Society Islands reed warbler', ""Forster's reed-warbler""], 'scientific_name': 'Acrocephalus musae'}",Garrett's reed warbler,"['Society Islands reed warbler', ""Forster's reed-warbler""]",Acrocephalus musae
141,The Geelvink pygmy parrot  (Micropsitta geelvinkiana) is a species of parrot in the family Psittacidae endemic to Biak and Numfoor islands in Western New Guinea,"{'bird': 'Geelvink pygmy parrot', 'alternate_names': 'Micropsitta geelvinkiana', 'scientific_name': 'Psittacidae'}",Geelvink pygmy parrot,Micropsitta geelvinkiana,Psittacidae
