,raw,bird,alternate_names,scientific_name
67,"The Ituri batis or Chapin's batis (Batis ituriensis) is a species of bird in the wattle-eye family, Platysteiridae which is found in the humid forests of eastern central Africa",Ituri batis,Chapins batis,Batis ituriensis
68,"The ivory gull (Pagophila eburnea) is a small gull, the only species in the genus Pagophila",ivory gull,,Pagophila eburnea
69,The ivory-backed woodswallow (Artamus monachus) is a species of bird in the family Artamidae,ivory-backed woodswallow,,Artamus monachus
70,The ivory-billed coucal or greater black coucal (Centropus menbeki) is a species of cuckoo in the family Cuculidae,ivory-billed coucal,greater black coucal,Centropus menbeki
71,"The ivory-billed woodcreeper (Xiphorhynchus flavigaster) is a species of bird of the order of Passeriformes, which are perching birds",ivory-billed woodcreeper,,Xiphorhynchus flavigaster
72,The ivory-breasted pitta (Pitta maxima) is a species of bird in the family Pittidae,Pitta maxima,ivory-breasted pitta,Pitta maxima
73,The Izu thrush or Izu Islands thrush (Turdus celaenops) is a bird of the thrush family native to Japan,Izu thrush,Izu Islands thrush,Turdus celaenops
74,The gabar goshawk (Micronisus gabar) is a small species of African and Arabian bird of prey in the family Accipitridae,Gabar Goshawk,,Micronisus gabar
75,The Gabela akalat (Sheppardia gabela) is a species of bird in the family Muscicapidae,Gabela akalat,,Sheppardia gabela
76,"The Gabela helmetshrike (Prionops gabela) is a species of bird in the Vanga family Vangidae, formerly usually included in the Malaconotidae",Gabela helmetshrike,,Prionops gabela
77,The Gabon coucal (Centropus anselli) is a species of cuckoo in the family Cuculidae,Gabon coucal,,Centropus anselli
78,The Gabon woodpecker (Dendropicos gabonensis) is a species of small woodpecker in the family Picidae which occurs in western central Africa,Gabon woodpecker,,Dendropicos gabonensis
79,The gadwall (Mareca strepera) is a common and widespread dabbling duck[2] in the family Anatidae,gadwall,,Mareca strepera
80,"The galah (/ɡəˈlɑː/; Eolophus roseicapilla), also known as the pink and grey cockatoo or rose-breasted cockatoo,[2] is the only species within genus Eolophus of the cockatoo family",galah,"pink and grey cockatoo, rose-breasted cockatoo",Eolophus roseicapilla
81,"The Galapagos crake (Laterallus spilonota), also called the Galapagos rail and Darwin's rail, is a Vulnerable species of rail in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Galapagos crake,"Galapagos rail, Darwins rail",Laterallus spilonota
82,The Galápagos dove (Zenaida galapagoensis) is a species of bird in the family Columbidae,Galápagos dove,,Zenaida galapagoensis
83,The Galápagos flycatcher (Myiarchus magnirostris) also known as the large-billed flycatcher is a species of bird in the family Tyrannidae,Galápagos flycatcher,large-billed flycatcher,Myiarchus magnirostris
84,The Galápagos hawk (Buteo galapagoensis) is a large hawk endemic to most of the Galápagos Islands,Galápagos hawk,,Buteo galapagoensis
85,"The Galápagos martin (Progne modesta) is a species of bird in the family Hirundinidae, endemic to the Galápagos Islands",Galápagos martin,,Progne modesta
86,The Galápagos mockingbird (Mimus parvulus) is a species of bird in the family Mimidae,Galápagos mockingbird,,Mimus parvulus
87,"The Galápagos penguin (Spheniscus mendiculus) is a penguin endemic to the Galápagos Islands, Ecuador",Galápagos penguin,,Spheniscus mendiculus
88,The Galápagos petrel (Pterodroma phaeopygia) is one of the six endemic seabirds of the Galápagos,Galápagos petrel,,Pterodroma phaeopygia
89,The Gambaga flycatcher (Muscicapa gambagae) is a species of bird in the family Muscicapidae,Gambaga flycatcher,,Muscicapa gambagae
90,Gambel's quail (Callipepla gambelii) is a small ground-dwelling bird in the New World quail family,Gambel's quail,,Callipepla gambelii
91,"The gang-gang cockatoo (Callocephalon fimbriatum) is a parrot found in the cooler and wetter forests and woodlands of Australia, particularly alpine bushland",gang-gang cockatoo,,Callocephalon fimbriatum
92,The Gansu leaf warbler (Phylloscopus kansuensis) is a small passerine bird known only from China,Gansu leaf warbler,,Phylloscopus kansuensis
93,"The garden emerald (Chlorostilbon assimilis) is a small hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",Garden Emerald,,Chlorostilbon assimilis
94,The garden warbler (Sylvia borin) is a common and widespread small bird that breeds in most of Europe and in the Palearctic to western Siberia,Garden Warbler,,Sylvia borin
95,The garganey (Spatula querquedula) is a small dabbling duck,garganey,,Spatula querquedula
96,The garnet robin (Eugerygone rubra) is a species of bird in the family Petroicidae,garnet robin,,Eugerygone rubra
97,The garnet-throated hummingbird (Lamprolaima rhami) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,garnet-throated hummingbird,,Lamprolaima rhami
98,"Garrett's reed warbler (Acrocephalus musae), sometimes called Society Islands reed warbler or Forster's reed-warbler was a songbird in the genus Acrocephalus",Garrett's reed warbler,"Society Islands reed warbler, Forsters reed-warbler",Acrocephalus musae
99,The Geelvink pygmy parrot  (Micropsitta geelvinkiana) is a species of parrot in the family Psittacidae endemic to Biak and Numfoor islands in Western New Guinea,Geelvink pygmy parrot,,Micropsitta geelvinkiana
100,The Genovesa cactus finch (Geospiza propinqua) is a species of bird in the tanager family Thraupidae,Genovesa cactus finch,,Geospiza propinqua
101,"The gentoo penguin (/ˈdʒɛntuː/ JEN-too) (Pygoscelis papua) is a penguin species (or possibly a species complex) in the genus Pygoscelis, most closely related to the Adélie penguin (P",Gentoo Penguin,,Pygoscelis papua
102,Germain's peacock-pheasant (Polyplectron germaini) is a pheasant that is endemic to Indochina,Germain's peacock-pheasant,,Polyplectron germaini
103,The giant antpitta (Grallaria gigantea) is a perching bird species in the antpitta family (Grallariidae),Giant Antpitta,,Grallaria gigantea
104,"The giant antshrike (Batara cinerea) is a species of bird in the family Thamnophilidae, belonging to the monotypic genus Batara",Giant Antshrike,,Batara cinerea
105,"The giant coot (Fulica gigantea) is a species of bird in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Giant Coot,,Fulica gigantea
106,The giant coua (Coua gigas) is a bird species from the coua genus in the cuckoo family that is endemic to the dry forests of western and southern Madagascar,Giant Coua,,Coua gigas
107,The giant honeyeater or duetting giant honeyeater (Gymnomyza brunneirostris) is a species of bird in the family Meliphagidae,Giant Honeyeater,Duetting Giant Honeyeater,Gymnomyza brunneirostris
108,"The giant hummingbird (Patagona gigas) is the only member of the genus Patagona and the largest member of the hummingbird family, weighing 18–24 g (0",Giant Hummingbird,,Patagona gigas
109,The giant kingbird (Tyrannus cubensis) is a species of bird in the tyrant flycatcher family Tyrannidae endemic to Cuba,Giant Kingbird,,Tyrannus cubensis
110,"The giant kingfisher (Megaceryle maxima) is the largest kingfisher in Africa, where it is a resident breeding bird over most of the continent south of the Sahara Desert, other than the arid southwest",Giant Kingfisher,,Megaceryle maxima
111,The giant nuthatch (Sitta magna) is a species of bird in the family Sittidae,giant nuthatch,,Sitta magna
112,The giant pitta (Hydrornis caeruleus) is a species of bird in the family Pittidae,Giant Pitta,,Hydrornis caeruleus
113,"The giant scops owl (Otus gurneyi), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae",Giant Scops Owl,"Lesser Eagle-Owl, Mindanao Eagle-Owl",Otus gurneyi
114,The giant snipe (Gallinago undulata) is a stocky wader,Giant Snipe,,Gallinago undulata
115,The giant sunbird (Dreptes thomensis) is a species of bird in the family Nectariniidae,Giant Sunbird,,Dreptes thomensis
116,The giant weaver (Ploceus grandis) is a species of bird in the family Ploceidae,giant weaver,,Ploceus grandis
117,"The giant white-eye, or Palau greater white-eye (Megazosterops palauensis) is a species of bird in the family Zosteropidae",giant white-eye,Palau greater white-eye,Megazosterops palauensis
118,"The giant wood rail (Aramides ypecaha) is a species of bird in the subfamily Rallinae of the rail, crake, and coot family Rallidae",Giant wood rail,,Aramides ypecaha
119,The giant wren (Campylorhynchus chiapensis) is a species of bird in the family Troglodytidae,giant wren,,Campylorhynchus chiapensis
120,The gibberbird (Ashbyia lovensis) is a species of chat within the Meliphagidae family of passerine birds,gibberbird,,Ashbyia lovensis
121,The Gila woodpecker (Melanerpes uropygialis) is a medium-sized woodpecker of the desert regions of the southwestern United States and western Mexico,Gila woodpecker,,Melanerpes uropygialis
122,"Gilbert's honeyeater (Melithreptus chloropsis), also known as the Swan River honeyeater or western white-naped honeyeater, is a passerine bird of the honeyeater family Meliphagidae native to southwestern Australia",Gilbert's honeyeater,"Swan River honeyeater, western white-naped honeyeater",Melithreptus chloropsis
123,"The Gilbert's whistler (Pachycephala inornata) is a monotypic species of bird endemic to Australia, scattered in semi-arid zones of southern Australia",Gilbert's whistler,,Pachycephala inornata
124,"The gilded barbet (Capito auratus) is a species of bird in the family Capitonidae, the New World barbets, and are close relatives of the toucans",gilded barbet,,Capito auratus
125,"The gilded flicker (Colaptes chrysoides) is a large-sized woodpecker (mean length of 29 cm (11 in)) of the Sonoran, Yuma, and eastern Colorado Desert regions of the southwestern United States and northwestern Mexico, including all of Baja California, except the extreme northwestern region",gilded flicker,,Colaptes chrysoides
126,"The gilded sapphire (Hylocharis chrysura), also known as the gilded hummingbird, is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",Gilded sapphire,Gilded hummingbird,Hylocharis chrysura
127,The Gizo white-eye or yellow-billed white-eye (Zosterops luteirostris) is a species of bird in the family Zosteropidae,Gizo white-eye,yellow-billed white-eye,Zosterops luteirostris
128,"The glaucous gull (Larus hyperboreus) is a large gull, the second-largest gull in the world",glaucous gull,,Larus hyperboreus
129,"The glaucous macaw (Anodorhynchus glaucus) is a critically endangered or possibly extinct species of large, blue and grey South American parrot, a member of a large group of neotropical parrots known as macaws",glaucous macaw,,Anodorhynchus glaucus
130,The glaucous tanager (Thraupis glaucocolpa) is a species of bird in the family Thraupidae,glaucous tanager,,Thraupis glaucocolpa
131,"The glaucous-winged gull (Larus glaucescens) is a large, white-headed gull",glaucous-winged gull,,Larus glaucescens
132,The glistening-green tanager (Chlorochrysa phoenicotis) is a species of bird in the family Thraupidae,Glistening-green tanager,,Chlorochrysa phoenicotis
133,"The glittering-throated emerald (Chionomesa fimbriata) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",glittering-throated emerald,,Chionomesa fimbriata
134,"The glossy antshrike (Sakesphorus luctuosus) is a species of bird in the family Thamnophilidae, the antbirds",glossy antshrike,,Sakesphorus luctuosus
135,The glossy flowerpiercer (Diglossa lafresnayii) is a species of bird in the family Thraupidae,glossy flowerpiercer,,Diglossa lafresnayii
136,The glossy ibis (Plegadis falcinellus) is a water bird in the order Pelecaniformes and the ibis and spoonbill family Threskiornithidae,glossy ibis,,Plegadis falcinellus
137,The glossy-mantled manucode (Manucodia ater) is a species of bird-of-paradise,glossy-mantled manucode,,Plegadis falcinellus
138,"The glowing puffleg (Eriocnemis vestita) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",glowing puffleg,,Eriocnemis vestita
139,"The glow-throated hummingbird (Selasphorus ardens) is an Endangered species of hummingbird in tribe Mellisugini of subfamily Trochilinae, the ""bee hummingbirds""",glow-throated hummingbird,,Selasphorus ardens
140,Godlewski's bunting (Emberiza godlewskii) is a species of bird in the family Emberizidae,Godlewski's bunting,,Emberiza godlewskii
141,The Gola malimbe or Ballman's malimbe (Malimbus ballmanni) is a species of bird in the family Ploceidae,Gola malimbe,Ballmans malimbe,Malimbus ballmanni
142,The goldcrest (Regulus regulus) is a very small passerine bird in the kinglet family,goldcrest,,Regulus regulus
143,The golden babbler (Cyanoderma chrysaeum) is a babbler species in the family Timaliidae,golden babbler,,Cyanoderma chrysaeum
144,"The golden bowerbird (Prionodura newtoniana) is a species of bird in the family Ptilonorhynchidae, the bowerbirds",golden bowerbird,,Prionodura newtoniana
145,"The golden bush robin (Tarsiger chrysaeus) or golden bush-robin was first discovered in 1845 by Brian Houghton Hodgson, a British naturalist",Golden Bush Robin,Golden Bush-Robin,Tarsiger chrysaeus
146,The golden cuckooshrike (Campochaera sloetii) is a species of bird in the family Campephagidae,golden cuckooshrike,,Campochaera sloetii
147,"The golden fruit dove (Ptilinopus luteovirens), also known as the lemon dove or yellow dove, is a small, approximately 20 cm (8 in) long, short-tailed fruit-dove in the family Columbidae",golden fruit dove,"lemon dove, yellow dove",Ptilinopus luteovirens
148,"The golden grosbeak (Pheucticus chrysogaster), also known as golden-bellied grosbeak or southern yellow grosbeak, is a species of grosbeak in the family Cardinalidae",Golden Grosbeak,"Golden-bellied Grosbeak, Southern Yellow Grosbeak",Pheucticus chrysogaster
149,"The golden masked owl (Tyto aurantia) is a barn owl endemic to the island of New Britain, Papua New Guinea",Barn Owl,,Tyto aurantia
150,The golden myna (Mino anais) is a species of starling in the family Sturnidae,Golden Myna,,Mino anais
151,The golden nightjar (Caprimulgus eximius) is a species of nightjar in the family Caprimulgidae,golden nightjar,,Caprimulgus eximius
152,"The golden palm weaver (Ploceus bojeri) is a species of bird in the weaver family, Ploceidae",golden palm weaver,,Ploceus bojeri
153,"The golden pipit (Tmetothylacus tenellus) is a distinctive pipit of dry country grassland, savanna and shrubland in eastern Africa",golden pipit,,Tmetothylacus tenellus
154,The golden tanager (Tangara arthus) is a species of bird in the family Thraupidae,golden tanager,,Tangara arthus
155,The golden vireo (Vireo hypochryseus) is a species of bird in the family Vireonidae,golden vireo,,Vireo hypochryseus
156,The golden-backed bishop (Euplectes aureus) is a species of bird in the family Ploceidae,golden-backed bishop,,Euplectes aureus
157,"The golden-backed weaver (Ploceus jacksoni), also known as Jackson's weaver, is a species of bird in the family Ploceidae",golden-backed weaver,Jacksons weaver,Ploceus jacksoni
158,"The golden-backed whistler (Pachycephala aurea) or yellow-backed whistler, is a species of bird in the family Pachycephalidae",golden-backed whistler,yellow-backed whistler,Pachycephala aurea
159,The golden-bellied flycatcher (Myiodynastes hemichrysus) is a passerine bird in the tyrant flycatcher family,golden-bellied flycatcher,,Myiodynastes hemichrysus
160,The golden-bellied flyrobin (Microeca hemixantha) is a species of bird in the family Petroicidae,flyrobin,,Microeca hemixantha
161,The golden-bellied gerygone (Gerygone sulphurea) is a species of bird in the family Acanthizidae,Gerygone sulphurea,Golden-bellied Gerygone,Gerygone sulphurea
162,"The golden-bellied starfrontlet (Coeligena bonapartei) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",starfrontlet,,Coeligena bonapartei
163,The golden-bellied warbler has been split into two species:,Golden-bellied Warbler,,Setophaga chrysoparia
164,The golden-bellied white-eye (Zosterops uropygialis) is a species of bird in the family Zosteropidae,golden-bellied white-eye,,Zosterops uropygialis
165,The golden-billed saltator (Saltator aurantiirostris) is a species of saltator in the family Thraupidae,golden-billed saltator,,Saltator aurantiirostris
166,The golden-breasted bunting (Emberiza flaviventris) is a passerine bird in the bunting family Emberizidae,golden-breasted bunting,,Emberiza flaviventris
167,The golden-breasted fruiteater (Pipreola aureopectus) is a species of bird in the family Cotingidae,golden-breasted fruiteater,,Pipreola aureopectus
168,"The golden-breasted fulvetta (Lioparus chrysotis) is a species of songbird found in Bhutan, China, India, Myanmar, Nepal, and Vietnam",golden-breasted fulvetta,,Lioparus chrysotis
169,"The golden-breasted puffleg (Eriocnemis mosquera) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",golden-breasted puffleg,,Eriocnemis mosquera
170,"The golden-breasted starling (Lamprotornis regius), also known as royal starling, is a medium-sized passerine in the starling family",golden-breasted starling,royal starling,Lamprotornis regius
171,The golden-browed chat-tyrant (Silvicultrix pulchella) is a species of passerine bird in the family Tyrannidae,Golden-browed chat-tyrant,,Silvicultrix pulchella
172,The golden-browed chlorophonia (Chlorophonia callophrys) is a species of bird in the family Fringillidae,golden-browed chlorophonia,,Chlorophonia callophrys
173,"The golden-browed warbler (Basileuterus belli) is a species of bird in the family Parulidae, the New World warblers",golden-browed warbler,,Basileuterus belli
174,The golden-cheeked woodpecker (Melanerpes chrysogenys) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-cheeked woodpecker,,Melanerpes chrysogenys
175,The golden-chested tanager (Bangsia rothschildi) is a species of bird in the family Thraupidae,golden-chested tanager,,Bangsia rothschildi
176,The golden-chevroned tanager (Thraupis ornata) is a species of bird in the family Thraupidae,golden-chevroned tanager,,Thraupis ornata
177,The golden-collared honeycreeper (Iridophanes pulcherrimus) is an uncommon species of Neotropical bird in the tanager family Thraupidae,golden-collared honeycreeper,,Iridophanes pulcherrimus
178,"The golden-collared macaw or yellow-collared macaw (Primolius auricollis) is a small mostly green Central South American parrot, a member of a large group of Neotropical parrots known as macaws",macaw,"golden-collared macaw, yellow-collared macaw",Primolius auricollis
179,The golden-collared manakin (Manacus vitellinus) is a species of bird in the family Pipridae,golden-collared manakin,,Manacus vitellinus
180,The golden-collared tanager (Iridosornis jelskii) is a species of bird in the family Thraupidae,golden-collared tanager,,Iridosornis jelskii
181,"The golden-crested myna (Ampeliceps coronatus) is a species in the starling and myna family, Sturnidae",golden-crested myna,,Ampeliceps coronatus
182,The golden-crowned babbler (Sterrhoptilus dennistouni) is a species of bird in the family Zosteropidae,golden-crowned babbler,,Sterrhoptilus dennistouni
183,The golden-crowned flycatcher (Myiodynastes chrysocephalus) is a species of bird in the family Tyrannidae,golden-crowned flycatcher,,Myiodynastes chrysocephalus
184,The golden-crowned kinglet (Regulus satrapa) is a very small songbird in the family Regulidae that lives throughout much of North America,golden-crowned kinglet,,Regulus satrapa
185,The golden-crowned spadebill (Platyrinchus coronatus) is a species of bird in the family Tyrannidae,golden-crowned spadebill,,Platyrinchus coronatus
186,The golden-crowned tanager (Iridosornis rufivertex) is a species of bird in the family Thraupidae,golden-crowned tanager,,Iridosornis rufivertex
187,The golden-crowned warbler (Basileuterus culicivorus) is a small New World warbler,golden-crowned warbler,,Basileuterus culicivorus
